clientId,predicted_label,label,Record Count
373230249.1551034765,0,0,2
495688125.1568743176,0,0,2
883295157.1549640005,1,1,2
218798888.1548864958,1,0,2
951297630.1552805767,0,0,2
725848010.1529685149,1,1,2
737259179.1547722522,1,0,2
572110110.1556309195,1,1,2
491057290.1548422517,1,0,2
758143892.1556738120,0,0,2
607295459.1546857314,0,0,2
289914676.1545917036,0,0,2
940162686.1552151225,1,0,2
936960288.1533506769,1,1,2
790085437.1512667322,1,1,2
559250370.1535134340,1,1,2
183562747.1568375967,1,0,2
126133269.1562267017,1,1,2
667023082.1559575806,1,1,2
915371544.1566626334,0,0,2
317821801.1557672682,0,0,2
860464255.1547123964,1,0,2
548565190.1536053276,0,0,2
283424433.1560821472,1,1,2
733230699.1555415979,1,0,2
660032150.1567403930,0,0,2
876245302.1562756357,0,0,2
949653112.1559554336,1,1,2
579257662.1563989968,1,1,2
452339490.1558136174,1,1,2
515111267.1568916756,0,0,2
781297337.1532704405,1,1,2
957085237.1551082197,1,1,2
375254334.1564092150,1,1,2
762141716.1546722794,0,0,2
635179862.1552681812,1,1,2
137104752.1564685973,0,0,2
667978547.1556319141,1,0,2
714506239.1551268656,1,0,2
313977662.1565372253,0,0,2
758025797.1554117039,0,0,2
398118475.1556391312,1,1,2
328147361.1551614270,0,0,2
433039313.1541373541,1,1,2
774717622.1537807195,1,1,2
751307682.1555948907,0,0,2
805426479.1547933733,1,1,2
965483808.1555999087,0,0,2
769460994.1556727365,0,0,2
554639786.1557079118,0,0,2
778676072.1557835182,0,0,2
747704281.1567598152,0,0,2
